Tm (°C),GC (%)
131.121,46.36
136.2,53.6
132.139,47.66
136.175,53.85
136.341,54.81
136.186,55.99
134.89,52.38
130.83,47.92
132.814,46.61
133.623,51.93
131.757,42.32
131.604,44.89
134.971,51.12
136.871,55.89
134.91,50.59
136.72,54.23
135.951,53.2
136.004,54.35
136.008,53.24
136.987,55.61
135.872,52.84
136.746,54.68
129.318,36.79
135.449,53.44
136.273,54.15
135.183,51.42
132.988,49.55
136.24,53.44
135.223,51.75
130.313,44.86
130.916,45.39
132.082,47.13
134.599,50.4
132.659,46.85
134.064,50.89
137.077,56.07
134.507,51.8
135.057,53.57
136.438,54.7
135.084,52.91
127.598,32.51
136.001,53.64
136.345,53.68
136.227,54.33
134.7,55.56
135.484,51.83
136.868,56.85
134.864,50.99
133.745,49.8
135.952,53.04
135.892,53.54
133.03,49.7
135.536,53.5
135.993,52.76
134.834,50.84
136.382,54.0
134.565,51.3
132.471,48.57
135.106,51.04
134.25,50.32
135.362,51.69
135.81,52.19
132.502,49.45
135.65,51.98
135.259,54.57
131.813,45.86
134.878,51.58
136.093,53.15
134.801,51.04
134.578,52.07
136.426,53.92
137.283,56.0
133.632,51.03
136.89,55.4
135.392,52.38
135.775,54.28
135.796,56.73
133.177,49.72
133.906,47.9
132.331,46.5
133.234,48.19
128.28,40.64
129.409,40.27
136.535,53.78
136.283,54.02
132.07,44.91
135.773,51.89
130.488,48.48
137.338,58.33
134.39,52.38
135.537,53.8
137.949,57.56
133.9,51.82
137.063,57.26
135.966,52.75
134.504,50.64
136.096,53.89
135.223,51.77
135.484,51.95
136.937,55.22
135.604,52.33
135.126,50.82
134.392,51.46
135.769,53.46
130.7,43.18
138.294,58.2
135.993,53.7
136.248,53.83
135.337,51.55
138.645,58.78
139.726,61.14
137.817,57.14
137.415,56.8
136.158,56.37
131.036,43.74
133.952,48.57
130.912,44.08
136.99,57.95
135.581,52.72
132.33,45.43
132.758,46.15
136.88,56.02
136.29,54.69
135.513,53.54
137.052,56.91
138.138,57.85
139.626,61.19
123.581,27.97
133.385,50.0
136.662,55.07
135.29,52.0
134.1,50.72
135.629,53.06
136.294,53.59
132.247,44.92
134.689,50.63
133.743,47.63
135.248,51.38
137.223,56.37
132.828,46.31
135.417,51.86
135.65,52.67
137.229,55.94
137.625,57.22
137.086,56.62
137.288,56.94
137.447,57.02
136.931,57.45
135.599,53.25
132.967,47.88
136.636,54.69
135.164,53.07
134.437,55.87
136.289,54.56
131.729,44.57
131.002,42.14
133.999,47.7
132.537,45.14
133.733,49.61
128.661,36.65
132.754,46.19
135.386,52.3
137.048,55.06
135.888,52.41
131.091,41.42
136.03,53.26
124.903,28.92
138.327,57.97
135.514,54.33
137.669,56.89
135.88,52.8
136.191,54.82
135.29,51.41
131.265,45.35
137.06,55.88
137.167,55.32
135.945,53.01
133.706,47.68
134.607,51.07
132.426,47.7
132.571,50.2
135.568,52.37
130.386,49.02
129.85,47.71
133.576,48.25
136.536,53.99
136.394,54.28
134.084,54.79
137.582,56.23
132.399,44.62
136.081,54.17
137.555,57.4
138.955,60.8
138.02,58.19
136.701,55.38
137.206,56.29
137.135,55.74
136.564,55.24
137.452,57.7
136.937,58.21
137.663,56.79
132.619,52.02
136.858,55.56
136.331,54.18
132.892,46.98
133.69,47.67
129.799,38.65
133.116,47.12
134.003,50.0
135.805,52.51
133.292,49.18
134.804,50.36
135.403,54.5
135.049,51.67
135.019,50.68
136.461,54.95
137.32,58.15
137.18,55.9
137.412,57.21
135.205,55.56
134.969,50.99
134.781,49.97
134.48,50.66
135.098,50.94
132.572,46.52
129.448,43.81
133.229,49.48
136.033,54.12
131.891,50.0
136.029,53.73
132.301,44.65
133.127,47.51
131.09,46.21
134.474,49.59
137.611,57.39
135.386,51.93
135.966,52.73
137.262,58.55
133.335,50.63
134.231,50.33
133.957,49.53
